candidate_id,rank,score,reasoning
CAND_0011687,1,1.000000,"Strong fit — Senior NLP Engineer with 7.8 years of experience at Niramai; directly relevant skills: embeddings, faiss, feature engineering, langchain (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0061655,2,1.000000,"Excellent match — Machine Learning Engineer with 4.6 years of experience at Krutrim; directly relevant skills: bm25, elasticsearch, haystack, kubeflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Concern: below preferred experience floor (JD asks 5–9 yrs, has 4.6 yrs)."
CAND_0077337,3,1.000000,"Top pick — Staff Machine Learning Engineer with 7 years of experience at Paytm; directly relevant skills: bm25, feature engineering, information retrieval, opensearch (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0081846,4,1.000000,"Excellent match — Lead AI Engineer with 6.7 years of experience at Razorpay; directly relevant skills: bm25, elasticsearch, embeddings, information retrieval (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0050876,5,0.999209,"Top pick — Applied ML Engineer with 6 years of experience at Freshworks; directly relevant skills: faiss, kubeflow, mlops, opensearch (+1 more); has shipped a ranking/retrieval/recommendation system to production. Caveat: notice period 90d may delay start."
CAND_0064326,6,0.994810,"Top pick — Search Engineer with 7.6 years of experience at Sarvam AI; directly relevant skills: bm25, milvus, python, pytorch (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0018499,7,0.979199,"Excellent match — Senior Machine Learning Engineer with 7.2 years of experience at Zomato; directly relevant skills: bm25, embeddings, information retrieval, langchain (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0006418,8,0.976354,"Top pick — Machine Learning Engineer with 5.7 years of experience at Verloop.io; directly relevant skills: elasticsearch, embeddings, learning to rank, mlflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0049538,9,0.973980,"Excellent match — Applied ML Engineer with 5.8 years of experience at Saarthi.ai; directly relevant skills: elasticsearch, embeddings, feature engineering, learning to rank (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0041669,10,0.971556,"Excellent match — Recommendation Systems Engineer with 8 years of experience at CRED; directly relevant skills: faiss, haystack, information retrieval, milvus (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0088025,11,0.970686,"Relevant profile — Staff Machine Learning Engineer with 8.6 years of experience at Yellow.ai; directly relevant skills: bm25, elasticsearch, learning to rank, lora (+1 more); has shipped a ranking/retrieval/recommendation system to production. Concern: notice period 90d may delay start."
CAND_0002025,12,0.969385,"Relevant profile — Senior AI Engineer with 5.9 years of experience at Apple; directly relevant skills: faiss, haystack, langchain, nlp (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0099806,13,0.966201,"Solid candidate — AI Engineer with 4.6 years of experience at Mad Street Den; directly relevant skills: bm25, elasticsearch, embeddings, faiss (+1 more); has shipped a ranking/retrieval/recommendation system to production. Concern: below preferred experience floor (JD asks 5–9 yrs, has 4.6 yrs)."
CAND_0036184,14,0.957267,"Good match — Recommendation Systems Engineer with 6 years of experience at CRED; directly relevant skills: embeddings, faiss, langchain, mlops (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0000031,15,0.951719,"Good match — Recommendation Systems Engineer with 6 years of experience at Swiggy; directly relevant skills: embeddings, faiss, feature engineering, information retrieval (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
